row,col,baseline,noise_width,timestamp,chip_name,chip_address,batch_name,batch_id,batch_started_at,save_notes
4,10,529,8,2026-04-10T18:16:15.915867+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,11,514,6,2026-04-10T18:16:16.469258+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,12,521,7,2026-04-10T18:16:17.023969+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,13,520,7,2026-04-10T18:16:17.549660+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,14,541,7,2026-04-10T18:16:18.072356+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
4,15,539,5,2026-04-10T18:16:18.597990+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,0,506,7,2026-04-10T18:16:19.126003+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,1,515,5,2026-04-10T18:16:19.683682+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,2,507,5,2026-04-10T18:16:20.233468+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,3,505,6,2026-04-10T18:16:20.765359+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,4,516,6,2026-04-10T18:16:21.293117+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,5,516,5,2026-04-10T18:16:21.824201+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,6,502,6,2026-04-10T18:16:22.357817+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,7,519,7,2026-04-10T18:16:22.901964+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,8,524,9,2026-04-10T18:16:23.461769+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,9,516,5,2026-04-10T18:16:24.006848+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,10,524,6,2026-04-10T18:16:24.553820+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,11,531,6,2026-04-10T18:16:25.081123+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,12,524,7,2026-04-10T18:16:25.618129+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,13,535,9,2026-04-10T18:16:26.143303+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,14,525,8,2026-04-10T18:16:26.667346+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
5,15,528,6,2026-04-10T18:16:27.190968+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,0,508,8,2026-04-10T18:16:27.736828+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,1,527,9,2026-04-10T18:16:28.281517+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,2,521,7,2026-04-10T18:16:28.828312+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,3,509,6,2026-04-10T18:16:29.355423+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,4,504,7,2026-04-10T18:16:29.896391+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,5,518,7,2026-04-10T18:16:30.419349+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,6,514,5,2026-04-10T18:16:30.943236+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,7,509,5,2026-04-10T18:16:31.494955+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,8,520,9,2026-04-10T18:16:32.045223+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,9,511,4,2026-04-10T18:16:32.586498+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,10,520,5,2026-04-10T18:16:33.116858+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,11,518,7,2026-04-10T18:16:33.649824+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,12,536,2,2026-04-10T18:16:34.193299+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,13,525,8,2026-04-10T18:16:34.717944+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,14,551,7,2026-04-10T18:16:35.260276+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
6,15,517,5,2026-04-10T18:16:35.811720+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
7,0,497,5,2026-04-10T18:16:36.354089+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
7,1,493,4,2026-04-10T18:16:36.881821+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
7,2,509,6,2026-04-10T18:16:37.406264+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
7,3,517,6,2026-04-10T18:16:37.936328+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
7,4,509,5,2026-04-10T18:16:38.471658+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
7,5,511,7,2026-04-10T18:16:39.009080+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
7,6,531,9,2026-04-10T18:16:39.569559+09:00,chip_name,96,ds,20260410_181532_ds,2026-04-10T18:15:32.012774+09:00,ds
